Model,AUC,F1,Precision,Recall
Logistic Regression,0.7984325638331443,0.7187569377816183,0.7573130108845737,0.684171322160149
Random Forest,0.9066813700501786,0.7953674297038239,0.8152091809200307,0.776536312849162
XGBoost,0.9697172719675138,0.9221429445810253,0.8958312318254936,0.9500931098696462
Altman Z-Score,0.6808943546673666,0.13914174252275682,0.07703383729301656,0.7181208053691275
